Open,High,Low,Close*,Volume(T)
9551.36,10155.0,9524.27,10055.55,43.106
10166.54,11215.89,10080.0,10710.32,61.871
10673.91,11284.44,10080.0,10813.81,29.486
10837.29,11284.44,10490.0,11015.85,28.356
11024.87,11765.0,10550.21,11755.0,46.516
11730.01,13880.0,10997.0,12898.83,120.332
12936.85,13868.44,10300.0,11029.97,126.85
11079.2,12444.77,10723.3,12340.0,69.391
12379.26,12444.77,10737.87,11955.34,47.633
11863.45,12379.99,10652.36,10755.01,47.508
10705.75,12200.0,9953.0,10566.9,73.138
10572.56,11210.52,9614.08,10753.58,74.654
10816.68,11998.0,9651.0,11958.15,67.498
11986.09,12064.54,10926.01,11093.42,38.314
11146.78,12064.26,10736.0,11021.93,39.093
10960.0,11723.6,10761.8,11225.0,26.621
11126.08,11620.0,11000.0,11450.12,20.279
11534.36,12395.0,11323.7,12281.85,36.899
12316.02,12883.48,12105.32,12550.0,47.293
12551.21,13202.63,11553.21,12089.01,69.889
12096.01,13202.63,10933.0,11269.7,65.166
11255.55,11950.0,11079.59,11792.78,32.058
11828.94,11888.48,10814.4,11367.8,34.097
11404.33,11467.27,10098.4,10132.36,41.15
10200.1,12977.33,9855.0,10916.96,53.467
10899.99,11079.61,9350.0,9448.68,72.352
9390.03,11040.0,9071.0,9686.46,60.453
9684.0,10799.0,9291.0,10704.46,58.971
10639.13,10799.0,9291.0,10513.28,37.946
10568.01,11210.0,10359.17,10731.92,31.605
10680.64,10848.25,10188.0,10605.14,21.531
10636.66,10694.15,10060.0,10309.01,30.324
10325.59,10688.14,9800.23,9866.01,32.832
9822.44,9919.08,9507.38,9813.45,33.512
9767.87,10200.0,9507.38,9893.08,25.889
9875.5,9898.03,9625.2,9849.01,19.111
9843.95,10250.0,9292.0,9427.47,32.875
9448.01,9669.11,9108.9,9544.2,17.419
9545.0,9729.87,9356.75,9473.33,18.397
9496.0,9839.83,9356.75,9578.01,16.563
9589.83,10135.8,9371.96,10070.0,23.726
10084.21,10494.99,9570.01,10396.0,29.632
10406.02,10670.0,9881.0,10536.97,25.599
10533.0,10922.08,10322.47,10813.62,18.989
10825.35,11089.74,10505.0,11010.0,21.064
10978.35,11950.0,10572.0,11814.97,43.808
11788.3,12340.0,10985.0,11446.54,48.455
11432.85,12173.8,11366.26,11983.09,49.099
11959.95,12147.0,11366.26,11983.41,27.215
12009.98,12042.0,11651.89,11854.51,22.256
11891.95,11976.68,11170.0,11303.42,24.332
11279.27,11560.0,11080.37,11549.99,13.841
11559.12,11562.48,11088.88,11394.77,11.781
11559.12,11562.48,11088.88,11394.77,11.781
11380.02,11559.12,10746.0,10866.92,25.729
10854.92,11438.39,9895.74,9977.41,41.157
10001.99,10850.13,9470.0,10255.0,50.502
10297.01,10539.9,9470.0,10324.42,35.391
10355.75,10539.9,9739.99,10206.9,14.426
10217.77,10513.45,9980.0,10327.32,12.972
10324.95,10950.0,10066.66,10889.96,23.113
10944.08,10959.0,10549.74,10762.81,18.274
10780.91,10807.54,9841.59,10101.13,35.56
10126.0,10800.0,9752.2,10121.82,23.795
10083.09,10478.0,10035.84,10418.39,25.805
10420.0,10445.43,9883.4,10144.79,17.668
10139.99,10398.6,9899.95,10096.31,17.788
10136.81,10697.9,9899.95,10360.53,32.696
10362.74,10680.0,10019.56,10164.11,16.626
10171.86,10379.63,9512.5,9695.14,29.481
9700.03,9725.86,9307.8,9476.12,39.48
9481.28,9725.86,9321.73,9570.15,20.672
9572.0,9707.48,9400.0,9600.78,7.753
9609.45,9850.0,9539.58,9759.0,9.212
9765.92,10490.0,9539.58,10369.26,22.634
10391.08,10790.0,9756.54,10660.71,37.019
10614.62,10833.14,10319.0,10576.18,29.079
10555.01,10666.43,10452.15,10574.18,17.532
10608.0,10947.0,10145.3,10345.53,44.832
10322.0,10939.34,10182.0,10494.01,13.329
10484.87,10605.52,10231.13,10405.86,11.971
10401.39,10542.93,10051.0,10336.18,23.624
10320.75,10390.09,9916.0,10100.9,18.84
10106.3,10389.26,9851.97,10145.83,21.207
10191.72,10460.0,10027.52,10400.9,19.496
10423.9,10460.0,10040.0,10366.19,13.972
10359.11,10439.0,10157.0,10365.19,10.282
10360.84,10439.0,10223.36,10302.99,7.343
10315.71,10379.98,10000.0,10241.4,27.115
10251.98,10276.3,10130.59,10197.51,15.547
10198.27,10263.65,10041.8,10156.26,15.872
10167.4,10380.07,9585.86,10265.68,30.319
10275.01,10379.15,9585.86,10166.43,15.536
10167.6,10180.43,9917.34,9982.79,12.516
9974.29,10170.15,9842.35,10051.12,11.637
10032.86,10097.0,9609.37,9675.25,24.23
9666.79,9841.59,8159.35,8587.12,97.737
8614.9,8746.83,8222.01,8452.15,57.267
